"","animal","gestation","longevity"
"1","baboon",187,20
"2","bear, black",219,18
"3","bear, grizzly",225,25
"4","bear, polar",240,20
"5","beaver",122,5
"6","buffalo",278,15
"7","camel",406,12
"8","cat",63,12
"9","chimpanzee",231,20
"10","chipmunk",31,6
"11","cow",284,15
"12","deer",201,8
"13","dog",61,12
"14","donkey",365,12
"15","elephant",645,40
"16","elk",250,15
"17","fox",52,7
"18","giraffe",425,10
"19","goat",151,8
"20","gorilla",257,20
"21","guinea pig",68,4
"22","hippopotamus",238,25
"23","horse",330,20
"24","kangaroo",42,7
"25","leopard",98,12
"26","lion",100,15
"27","monkey",164,15
"28","moose",240,12
"29","mouse",21,3
"30","opossum",15,1
"31","pig",112,10
"32","puma",90,12
"33","rabbit",31,5
"34","rhinoceros",450,15
"35","sea lion",350,12
"36","sheep",154,12
"37","squirrel",44,10
"38","tiger",105,16
"39","wolf",63,5
"40","zebra",365,15
