"","gender","height","weight"
"1",0,72,155
"2",0,67,145
"3",0,65,125
"4",1,67,120
"5",1,63,105
"6",1,54,120
"7",1,66,125
"8",1,64,125
"9",0,72,160
"10",0,66,133
"11",0,66,175
"12",0,71,205
"13",0,71,175
"14",1,57,82
"15",1,66,125
"16",1,67,133
"17",0,70,175
"18",0,73,163
"19",1,68,133
"20",0,72,180
"21",1,65,107
"22",1,70,170
"23",1,64,110
"24",1,64,140
"25",1,63,110
"26",1,60,110
"27",1,69,125
"28",1,65,120
"29",1,67,180
"30",0,67,120
"31",0,68,140
"32",0,65,130
"33",1,62,122
"34",1,66,114
"35",1,65,115
"36",1,63,125
"37",0,73,195
"38",0,69,135
"39",0,70,145
"40",0,72,170
"41",0,73,172
"42",0,69,168
"43",0,68,155
"44",0,71,185
"45",0,71,175
"46",0,68,158
"47",0,69,185
"48",0,67,146
"49",0,66,135
"50",0,67,150
"51",0,72,160
"52",0,68,155
"53",0,75,230
"54",0,68,149
"55",0,73,240
"56",0,72,170
"57",0,72,198
"58",0,72,163
"59",0,72,230
"60",0,74,170
"61",0,68,151
"62",0,73,220
"63",0,68,145
"64",0,70,130
"65",0,72,160
"66",0,70,210
"67",0,67,145
"68",0,67,185
"69",0,71,237
"70",0,72,205
"71",0,73,147
"72",0,68,170
"73",0,72,181
"74",0,68,150
"75",0,67,150
"76",0,70,200
"77",0,71,175
"78",0,70,155
"79",0,67,167
"80",1,58,100
"81",1,56,100
